,0
0,0.945698008874615
1,0.751375756106544
2,1.0079935121824874
3,0.8143377261408418
4,0.4158725534532586
5,-0.34090802347041205
6,1.068459970238873
7,0.5647210363409982
8,0.24848456101778638
9,0.6134797343388492
10,0.5296554455711338
11,0.37318317290288405
12,0.29715532445015924
13,0.16854065019293785
14,0.3834906123452093
15,0.11798804554879894
16,0.16364609489267679
17,0.12891635459260442
18,0.1595238770424956
19,0.3065615670624027
20,0.46326387373401445
21,0.45990170709706035
22,0.19368903088419387
23,0.1411245613862313
24,0.3668944107423897
25,0.4631571532316592
26,0.22245357668181853
