time,T1,T2,T3,T4,T5,T_amb,irrad,u1,u2,u3,u4,u5,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,Tret1,Tret2,Tret3,Tret4,Tret5,F1,F2,F3,F4,F5
2020-01-03 00:00:00,19.62,19.79,19.98,19.96,19.76,-0.63,0.0,0.743,0.48,0.512,0.576,0.458,36.0,23.0,23.0,1459.27,1038.28,927.31,1169.92,207.37,28.48,24.59,24.59,24.79,21.35,0.046414,0.021761,0.019447,0.02497,0.003386
2020-01-03 00:15:00,19.91,20.31,20.48,20.41,20.05,-0.49,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1766.3,1739.15,1470.81,1709.69,412.83,29.24,26.83,26.73,26.57,22.65,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 00:30:00,20.08,20.72,20.89,20.78,20.33,-0.34,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1683.65,1683.66,1420.18,1647.77,408.4,29.55,27.12,27.05,26.91,22.79,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 00:45:00,20.14,20.82,20.99,20.88,20.49,-0.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1671.08,1665.29,1400.59,1624.38,406.03,29.6,27.22,27.17,27.04,22.87,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 01:00:00,20.19,20.91,21.09,20.98,20.55,-0.32,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1665.54,1657.36,1389.24,1610.07,403.72,29.62,27.26,27.24,27.12,22.94,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 01:15:00,20.21,20.97,21.16,21.05,20.63,-0.44,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1661.11,1650.18,1378.26,1595.96,402.04,29.64,27.3,27.31,27.19,23.0,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 01:30:00,20.23,21.03,21.23,21.12,20.69,-0.55,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1657.79,1644.45,1368.6,1583.11,400.29,29.65,27.33,27.37,27.27,23.05,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 01:45:00,20.25,21.1,21.3,21.19,20.75,-0.67,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1651.19,1628.13,1353.68,1567.85,397.57,29.68,27.42,27.47,27.35,23.14,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 02:00:00,20.27,21.17,21.37,21.25,20.81,-0.79,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1645.06,1612.39,1339.29,1553.04,394.88,29.7,27.5,27.56,27.43,23.23,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 02:15:00,20.29,21.23,21.44,21.32,20.88,-0.91,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1638.97,1596.61,1324.94,1538.31,392.21,29.73,27.58,27.65,27.51,23.31,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 02:30:00,20.31,21.3,21.5,21.38,20.93,-1.03,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1633.01,1581.04,1310.78,1523.77,389.55,29.75,27.67,27.74,27.59,23.4,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 02:45:00,20.33,21.36,21.56,21.44,20.99,-1.15,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1627.13,1565.61,1296.75,1509.38,386.92,29.77,27.75,27.83,27.67,23.48,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 03:00:00,20.36,21.43,21.63,21.5,21.05,-1.17,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1621.15,1550.1,1282.64,1494.95,384.31,29.79,27.83,27.92,27.75,23.57,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 03:15:00,20.38,21.49,21.69,21.57,21.11,-1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1614.7,1534.47,1268.42,1480.45,381.72,29.82,27.91,28.01,27.83,23.65,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 03:30:00,20.41,21.55,21.75,21.62,21.17,-1.22,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1611.52,1526.93,1262.09,1473.58,380.0,29.83,27.95,28.04,27.87,23.71,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 03:45:00,20.43,21.6,21.79,21.67,21.21,-1.25,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1608.31,1519.43,1255.76,1466.74,378.28,29.84,27.99,28.08,27.91,23.76,0.062491,0.045381,0.037955,0.043361,0.007396
2020-01-03 04:00:00,20.45,21.64,21.84,21.71,21.26,-1.3,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1605.32,1512.36,1249.83,1460.3,376.63,29.85,28.03,28.12,27.94,23.82,0.062491,0.045381,0.037955,0.043361,0.007396
