time,T1,T2,T3,T4,T5,T_amb,irrad,u1,u2,u3,u4,u5,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,Tret1,Tret2,Tret3,Tret4,Tret5,F1,F2,F3,F4,F5
2020-01-03 00:00:00,19.76,19.82,19.9,19.82,19.85,3.31,0.0,0.341,0.374,0.169,0.377,0.369,36.0,23.0,23.0,561.13,446.77,225.5,433.58,91.34,24.43,23.34,22.03,23.26,21.11,0.011598,0.008443,0.003862,0.00814,0.001468
2020-01-03 00:15:00,20.29,20.46,20.56,20.47,20.17,3.27,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1157.79,920.17,937.26,893.8,223.31,27.86,26.25,26.18,26.09,22.59,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 00:30:00,20.76,20.91,21.15,20.94,20.6,3.23,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1158.51,920.2,944.98,892.8,222.95,27.86,26.25,26.1,26.1,22.61,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 00:45:00,20.89,21.08,21.34,21.1,20.79,3.19,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1104.55,886.23,911.84,860.44,219.72,28.24,26.61,26.45,26.46,22.8,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 01:00:00,20.94,21.17,21.42,21.19,20.89,3.15,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1097.48,880.25,907.24,854.37,218.92,28.29,26.67,26.5,26.53,22.85,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 01:15:00,21.0,21.26,21.5,21.28,20.97,3.12,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1092.73,875.75,904.45,849.55,218.08,28.32,26.72,26.53,26.58,22.9,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 01:30:00,21.05,21.34,21.57,21.35,21.06,3.08,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1087.8,871.26,901.61,844.76,217.39,28.36,26.77,26.56,26.64,22.94,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 01:45:00,21.13,21.43,21.67,21.45,21.13,3.05,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1073.07,858.79,885.69,832.95,215.23,28.46,26.9,26.72,26.77,23.07,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 02:00:00,21.2,21.53,21.77,21.54,21.24,3.03,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1058.46,846.48,870.0,821.26,213.2,28.56,27.03,26.89,26.9,23.19,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 02:15:00,21.28,21.63,21.88,21.64,21.33,3.01,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1043.77,834.28,854.37,809.66,211.07,28.66,27.16,27.05,27.03,23.32,0.034041,0.022582,0.022842,0.021584,0.003983
2020-01-03 02:30:00,21.36,21.72,21.98,21.73,21.43,2.98,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1029.18,821.99,838.59,797.98,209.0,28.77,27.29,27.22,27.16,23.45,0.034041,0.022582,0.022842,0.021584,0.003983
