,0
0,0.8539283851736847
1,0.6803430124149799
2,1.0929678532859022
3,0.9153381518430592
4,0.5823942958265036
5,0.6990494830263252
6,0.4906464775902961
7,1.3167087172519665
8,0.9543863486084447
9,0.34681181349274937
10,0.5589830606266943
11,0.07244161501095192
12,0.5089492260932644
13,0.7126659996617555
14,0.4186956734086493
15,0.5561436966620619
16,0.42058901149689376
17,0.5252656636796864
18,0.7347711056174226
19,0.14336303378275517
20,0.34393152434708796
21,0.37773042371250654
22,0.5564849083575076
23,1.0128390084886902
24,0.245699659648988
