building_id,building_num,n_zones,b,A_lag1,B_lag1,c_lag1,D_lag1_s1,D_lag1_s2,D_lag1_s3,D_lag1_s4,D_lag1_s5,D_lag1_s6,D_lag1_s7,D_lag1_s8,D_lag1_s9,A_lag2,B_lag2,c_lag2,D_lag2_s1,D_lag2_s2,D_lag2_s3,D_lag2_s4,D_lag2_s5,D_lag2_s6,D_lag2_s7,D_lag2_s8,D_lag2_s9,A_lag4,B_lag4,c_lag4,D_lag4_s1,D_lag4_s2,D_lag4_s3,D_lag4_s4,D_lag4_s5,D_lag4_s6,D_lag4_s7,D_lag4_s8,D_lag4_s9,A_lag8,B_lag8,c_lag8,D_lag8_s1,D_lag8_s2,D_lag8_s3,D_lag8_s4,D_lag8_s5,D_lag8_s6,D_lag8_s7,D_lag8_s8,D_lag8_s9,A_lag32,B_lag32,c_lag32,D_lag32_s1,D_lag32_s2,D_lag32_s3,D_lag32_s4,D_lag32_s5,D_lag32_s6,D_lag32_s7,D_lag32_s8,D_lag32_s9
ep_SFH_age_0_climate_0_649,649,10,0.6388,0.9573063300000001,0.29633,0.0038228999999999997,0.001816,0.000391652,0.000279534,0.00019098900000000002,0.00012577999999999998,8.211199999999999e-05,0.000847,0.000655,0.000151,0.0,0.02975,9.21e-05,0.0,0.00037114,6.0702e-05,3.2449999999999996e-05,1.414e-06,1.89285e-05,0.0005572999999999999,0.0,0.0007700000000000001,0.0,0.0,0.0,0.0,0.0005737930000000001,0.00019155,0.000150939,7.26e-08,2.5723e-05,0.0,0.0,0.000416,0.00011199999999999998,0.0,0.000701,0.0,2.45e-05,8.594600000000001e-05,0.00010656299999999999,6.61e-08,1.6507e-05,0.0,0.0,0.0,0.001013,0.020755000000000003,0.006611500000000001,0.0,0.000150935,4.366e-05,2.5249e-05,3.8400000000000005e-06,5.926e-06,4.81e-05,0.0,0.0
ep_SFH_age_0_climate_0_821,821,15,0.5825999999999999,0.9588244466666667,0.3193533333333333,0.0035486666666666665,0.0007793333333333334,0.00058706,0.00023869866666666667,0.0002713,0.0002689666666666667,0.00023116666666666668,2.3466666666666667e-05,0.0,0.0007666666666666667,2.553333333333333e-05,0.08420000000000001,0.0,9.206666666666665e-05,0.0004099966666666667,0.00011642866666666669,0.00013000866666666667,9.474666666666667e-05,1.8866666666666666e-07,0.0,0.0,0.000696,0.0,0.0,0.0006926666666666666,0.000426,0.0002947066666666667,0.0001557534,0.00015534666666666667,9.923333333333332e-05,5.866666666666667e-07,0.0,0.00020866666666666665,0.0,9.999999999999999e-06,0.0,0.0004989333333333334,0.0,0.00011132266666666667,4.6114000000000006e-05,4.964353333333333e-05,2.1740000000000003e-06,1.6427333333333335e-05,0.0,0.0,0.0,0.001917,0.00699,0.004681333333333334,0.0,7.346200000000001e-05,4.68808e-05,3.106333333333334e-05,1.4211333333333334e-05,8.405333333333332e-06,0.000116,0.00036533333333333334,0.0
ep_SFH_age_0_climate_0_1241,1241,5,1.0624,0.9296279999999999,0.45120000000000005,0.00494,0.003314,0.0011058,0.00013924,0.00022019199999999997,0.00028674,0.00028446,0.000216,0.0,0.0,0.0,0.0,0.0,0.0028069999999999996,0.0007949999999999999,0.00013868,0.00022637999999999998,0.0002326,0.0,0.0,0.0,0.0,0.0,0.0,0.000726,0.0034799999999999996,0.00027406,4.524000000000001e-05,0.00016766,0.00015122000000000003,0.0,0.0,0.0,0.000441,0.0,0.00668,0.00033600000000000004,0.0,0.0002516,9.211999999999999e-05,0.00012898,0.0,7.802e-05,0.0,0.0001628,0.0,0.0011638,0.04926,0.006417000000000001,0.0,0.00020219999999999998,8.426e-05,5.4336e-05,1.9047999999999998e-05,3.184e-05,0.0,0.0,0.000706
ep_SFH_age_0_climate_1_259,259,10,0.5603999999999999,0.9591594000000001,0.34145,0.004912000000000001,0.000279,0.0008709999999999999,0.00032293,0.0002691008,0.00023325999999999997,0.00022982,0.0,0.001084,0.0,0.0,0.031314999999999996,0.0,0.0,0.0006935,0.00022585700000000002,0.00019854,0.00017001,0.0,0.000581,0.001,0.000592,0.0,0.0,0.0,0.000725,0.00028468,9.3608e-05,4.2671e-05,6.4502e-05,0.0,0.0007250000000000001,0.001768,0.0,1.6100000000000002e-05,0.00126,0.0018800000000000002,0.0,5.9207e-05,4.3529e-05,4.7470000000000005e-06,4.77e-07,2.7623000000000003e-05,0.000124,7.99e-05,0.0,0.001558,0.031332,0.007292,0.0,0.00016632000000000002,5.9165199999999994e-05,2.2366e-05,1.1438e-05,1.1776e-05,0.000643,0.0009013000000000001,0.0006321
ep_SFH_age_0_climate_1_493,493,27,0.34487407407407417,0.9723984444444445,0.2662555555555555,0.004087074074074074,0.001224111111111111,0.0007678425185185184,0.0002738692592592592,0.00018363666666666668,0.00010944037037037037,7.812851851851852e-05,5.074074074074074e-05,9.633333333333333e-05,5.037037037037037e-05,0.0005511111111111112,0.018361481481481482,0.0,0.00029740740740740736,0.0006250444444444445,8.977770370370371e-05,3.6227666666666665e-05,2.6917e-05,2.5333333333333334e-06,0.00063,0.00024296296296296295,9.814814814814815e-05,0.0,0.0007518518518518517,0.0,0.0002885185185185185,0.0004571888888888889,0.00015497148148148148,2.4751851851851852e-05,4.696555555555557e-05,1.982592592592593e-06,7.166666666666666e-05,0.0004729629629629629,0.0001785185185185185,0.0,0.008288518518518518,0.0,0.0,1.047e-05,3.691123222222223e-05,6.096666666666666e-06,0.0,3.5207407407407413e-06,0.0,0.00020555555555555556,0.0,0.001513777777777778,0.021029185185185182,0.0054536296296296295,0.0,2.912740740740741e-05,1.293588888888889e-05,1.139140740740741e-05,3.72962962962963e-06,8.071111111111112e-06,0.0,6.62962962962963e-05,0.0
ep_SFH_age_0_climate_1_535,535,14,0.7485714285714288,0.9502682857142857,0.30502142857142855,0.005996428571428571,0.0003535714285714286,0.0004855,0.00030828,0.00030941428571428566,0.0003015785714285714,0.00019547207142857145,0.001455,0.0010435714285714286,0.0004121428571428571,0.00018314285714285714,0.011214285714285715,0.0,0.002081,0.0005784214285714285,0.0001459857142857143,8.505392857142858e-05,8.371242857142858e-05,6.771428571428571e-09,0.00019071428571428573,0.0009435714285714285,0.00026171428571428575,0.0,0.0021357142857142855,0.0,0.0014296428571428572,0.0005872936142857143,0.00011833571428571431,4.740428571428571e-05,6.752571428571428e-05,1.1142857142857143e-05,0.00015135714285714283,0.0004016428571428571,0.0003164285714285714,0.00016142857142857143,0.007428571428571429,0.001988571428571429,0.0007179999999999999,0.00011334928571428569,2.705135714285714e-05,1.39e-05,2.442857142857143e-06,3.5435714285714285e-05,0.0003457142857142857,0.00021285714285714286,7.211428571428572e-05,0.0005291428571428571,0.030514285714285716,0.006983571428571428,0.0004914285714285714,0.00013382142857142857,4.442285714285714e-05,2.855928571428572e-05,7.0589285714285714e-06,1.1857142857142857e-05,0.0,0.0001792857142857143,0.0
ep_SFH_age_0_climate_2_1325,1325,15,0.5456,0.96107158,0.3092866666666667,0.005787733333333334,0.0009668666666666666,0.0008822,0.00035964466666666664,0.00029495333333333335,0.000285976,0.00019338666666666668,0.00017266666666666664,0.00030933333333333334,0.000382,2.5466666666666668e-05,0.09299333333333333,0.0,0.00036246666666666673,0.0006896346666666667,0.00016553533333333331,0.0001318,0.00013048666666666667,7.2e-06,3.64e-06,0.0001933333333333333,1.22e-05,0.0,0.0,0.0,0.0015666666666666667,0.00027286266666666666,5e-05,4.2063999999999996e-05,5.000666666666667e-05,2.5339333333333333e-05,0.0001944,0.0,0.0,4.493333333333333e-05,0.0,0.0,0.0,2.0067333333333334e-05,2.2338e-05,5.611066666666667e-05,3.683333333333334e-07,1.8630666666666664e-05,0.0,0.00016466666666666667,0.0,0.0016228666666666667,0.014929999999999999,0.0055780000000000005,0.0,0.00011239333333333333,5.413733333333333e-05,3.184194000000001e-05,1.8223333333333332e-05,1.6247333333333333e-05,0.0,0.0,0.0
ep_SFH_age_0_climate_2_1691,1691,34,0.3169294117647059,0.9682910088235294,0.23654411764705885,0.006019552941176472,0.001069529411764706,0.0011259117647058824,0.000575435294117647,0.00046738529411764713,0.00028638235294117657,0.00020982647058823532,4.7529411764705874e-05,0.0017900588235294117,0.00020144117647058824,0.002945294117647059,0.015576470588235292,0.0,0.0005326470588235294,0.0009538235294117648,0.0001279,8.048e-05,0.00014130176470588234,2.370882352941177e-05,2.4999999999999998e-05,0.0007926470588235293,0.0007006764705882353,0.0,0.0028944117647058828,0.0,0.00016323529411764706,0.0005321823529411764,9.839058823529412e-05,7.969073529411766e-05,5.115382352941177e-05,1.006970588235294e-05,0.0,0.00041435294117647063,0.0011497352941176472,2.9705882352941177e-05,0.013617647058823528,0.0001338235294117647,0.0,6.75e-06,9.299999999999999e-06,5.235088235294117e-05,3.193558823529412e-05,5.561764705882353e-05,0.0,0.0,0.0,0.0011521470588235294,0.02352294117647059,0.009683235294117645,0.0,0.00012820588235294117,9.541898235294118e-05,7.91e-05,3.3210326470588236e-05,2.6491470588235295e-05,0.0,0.000725,0.00044852941176470586
ep_SFH_age_0_climate_2_1972,1972,14,0.5622857142857144,0.9606449285714287,0.31997142857142863,0.0019429285714285714,0.0,0.0007133571428571426,0.00027175,0.00020774999999999998,0.0001748392857142857,0.00010021958571428572,0.000275,3.742857142857143e-05,0.0004114285714285714,0.0009803571428571428,0.015057142857142856,0.0,0.000379275,0.0005483857142857143,0.00011752857142857143,0.00011281142857142856,8.4642e-05,0.0,0.00017428571428571428,0.0012778571428571429,0.0003792857142857143,0.0,0.0,0.0,0.0,0.0002184357142857143,6.422857142857142e-05,6.875392857142857e-05,3.882857142857143e-05,2.642857142857143e-07,0.0,0.0,0.0,0.0,0.003932857142857143,0.0,4.692857142857143e-05,7.881428571428572e-05,2.5214285714285712e-06,1.3292857142857143e-05,6.252857142857144e-06,1.4585714285714286e-05,0.0,0.00030285714285714285,0.0,0.00025299999999999997,0.03632142857142857,0.007349285714285715,0.0,0.00010470000000000001,5.300714285714286e-05,3.136428571428572e-05,3.059642857142857e-05,4.378571428571429e-05,0.0,0.0004057142857142857,0.000806142857142857
ep_SFH_age_0_climate_3_955,955,21,0.33613333333333334,0.971549917142857,0.27241904761904767,0.003333619047619047,0.0,0.0007003823809523809,0.00027843809523809523,0.0002446785714285714,0.00019966809523809526,0.00013248295238095238,0.0005638095238095238,0.0003438095238095238,0.0010999999999999998,0.0007375238095238096,0.006442857142857143,0.0,8.857142857142857e-06,0.00047380476190476186,0.0001260017619047619,8.978571428571427e-05,6.050619047619049e-05,5.1652380952380955e-05,0.0002738095238095238,0.0008815238095238097,0.0,0.0,0.002214285714285714,0.0,0.0,0.00026485238095238096,0.00011740879047619048,9.869666666666666e-05,5.7450476190476184e-05,1.9340476190476192e-05,0.0004498571428571428,0.00018571428571428572,0.0,0.0,0.02009047619047619,0.0,0.00024528571428571427,8.738809523809524e-05,8.06904761904762e-05,0.00011967000000000002,5.238095238095238e-07,3.47452380952381e-05,5.528571428571429e-05,0.0,0.0,0.00046043809523809527,0.031585714285714286,0.009999047619047617,0.00012952380952380954,0.0001509857142857143,5.7419047619047615e-05,5.100142857142857e-05,2.2511428571428575e-05,2.8514809523809523e-05,0.0,0.0,0.0
