building_id,building_num,n_zones,b,A_lag1,B_lag1,c_lag1,D_lag1_s1,D_lag1_s2,D_lag1_s3,D_lag1_s4,D_lag1_s5,D_lag1_s6,D_lag1_s7,D_lag1_s8,D_lag1_s9,A_lag2,B_lag2,c_lag2,D_lag2_s1,D_lag2_s2,D_lag2_s3,D_lag2_s4,D_lag2_s5,D_lag2_s6,D_lag2_s7,D_lag2_s8,D_lag2_s9,A_lag3,B_lag3,c_lag3,D_lag3_s1,D_lag3_s2,D_lag3_s3,D_lag3_s4,D_lag3_s5,D_lag3_s6,D_lag3_s7,D_lag3_s8,D_lag3_s9,A_lag4,B_lag4,c_lag4,D_lag4_s1,D_lag4_s2,D_lag4_s3,D_lag4_s4,D_lag4_s5,D_lag4_s6,D_lag4_s7,D_lag4_s8,D_lag4_s9,A_lag8,B_lag8,c_lag8,D_lag8_s1,D_lag8_s2,D_lag8_s3,D_lag8_s4,D_lag8_s5,D_lag8_s6,D_lag8_s7,D_lag8_s8,D_lag8_s9,A_lag16,B_lag16,c_lag16,D_lag16_s1,D_lag16_s2,D_lag16_s3,D_lag16_s4,D_lag16_s5,D_lag16_s6,D_lag16_s7,D_lag16_s8,D_lag16_s9,A_lag32,B_lag32,c_lag32,D_lag32_s1,D_lag32_s2,D_lag32_s3,D_lag32_s4,D_lag32_s5,D_lag32_s6,D_lag32_s7,D_lag32_s8,D_lag32_s9
ep_SFH_age_0_climate_0_1241,1241,5,1.2368,0.9196199999999999,0.4805999999999999,0.00428,0.000462,0.0012718,0.0001392,0.00019111999999999997,0.000271878,0.00027586,0.0001274,0.0,0.000618,0.0,0.0,0.0,0.0,0.0006341999999999999,8.89e-05,0.00017727999999999998,0.00016358,0.0,0.0,0.0,0.0018189999999999999,0.0,0.0,0.0,0.00448,0.0004886,0.00010664,0.00013306,0.00014172,0.0,0.000768,0.0,0.0017399999999999998,0.0,0.0,0.0,0.0036860000000000005,0.00020446,6.148e-05,0.00012718,9.72e-05,0.0,0.00034199999999999996,0.000926,0.000157,5.0600000000000003e-05,0.0009639999999999999,0.00022,0.0,0.00022727999999999998,9.816e-05,0.00015062000000000002,0.0,8.2e-05,0.0,0.0,0.0,0.0002058,0.01858,0.00226,0.0037600000000000003,0.00030872,2.324e-05,4.0520000000000005e-05,2.32e-05,2.4420000000000003e-05,0.0001498,0.0,0.0,0.0011474,0.03591799999999999,0.008105999999999999,0.0,0.00017079999999999998,7.3e-05,5.4699999999999995e-05,2.1416000000000003e-05,1.878e-05,0.00017260000000000002,0.0001474,0.001126
ep_SFH_age_0_climate_0_649,649,10,0.6214999999999999,0.9581543,0.29028,0.001102,0.0005329999999999999,0.00039810000000000003,0.0001743522,0.000124122,8.337000000000001e-05,5.5690000000000004e-05,7.72e-05,0.00010300000000000001,0.0,0.0,0.02703,0.0013599999999999999,0.000449,0.0003026,0.00010438000000000001,6.843200000000001e-05,2.1673e-05,2.659e-05,0.000992,0.00030500000000000004,0.0,0.0,0.0,0.000174,0.000505,0.0006119999999999999,4.1603e-05,1.5314999999999998e-05,4.809999999999999e-07,4.59557e-06,0.0,0.000411,0.0,0.0,0.0,0.0,0.000556,0.0004954,0.00021472,0.00015597567999999998,0.0,1.603e-05,9.94e-05,0.000255,0.000779,4.04e-05,0.0,0.0,0.0,2.7160499999999995e-05,7.8708e-05,8.3014e-05,0.0,1.4218e-05,0.0,3.5e-05,0.0,7.768e-05,0.0014084,0.0,0.0026453,8.405e-05,3.9111e-05,9.593000000000001e-06,5.38e-06,1.7417999999999998e-05,0.000183,0.0,0.0,0.0009174,0.012277,0.0070469999999999994,0.0,0.0001268,4.0025e-05,2.2034000000000003e-05,7.643e-06,1.9396999999999997e-05,0.0,0.0,0.00027
ep_SFH_age_0_climate_0_821,821,15,0.6708000000000001,0.9541927333333333,0.3137866666666666,0.0024786666666666663,0.0,0.0006071466666666667,0.00019266,0.00022877440000000003,0.00022362066666666667,0.00020243333333333334,0.00012333333333333334,3.2800000000000004e-06,0.0003762,2.9266666666666665e-05,0.08925999999999999,0.00020266666666666667,0.0,0.00035468000000000007,8.520066666666667e-05,9.859333333333333e-05,7.453133333333333e-05,0.0,0.0,0.000216,0.0018006666666666666,0.0,0.0,0.0005006666666666667,0.0,0.00024203999999999998,8.070666666666665e-05,8.015333333333334e-05,5.334666666666667e-05,0.0,0.0,2.1199999999999997e-05,0.0005949333333333334,0.0,0.0,0.0009782,7.873333333333333e-05,0.00025528666666666666,0.00014764666666666667,0.00013114,7.9618e-05,1.493333333333333e-08,0.0,0.0,0.000254,0.0,1.0933333333333334e-05,0.0,0.0,0.00010326666666666665,4.75298e-05,3.761733333333333e-05,0.0,1.4732e-05,0.0,0.0,6.34e-05,3.313333333333334e-05,0.008360000000000001,0.0,0.00022733333333333332,0.00010696866666666665,5.443333333333333e-05,1.7864666666666665e-05,5.2686666666666675e-06,2.6170000000000002e-05,0.0,0.0,0.0,0.0015099333333333334,0.011965333333333331,0.005433733333333333,0.0,4.7753333333333336e-05,4.049266666666667e-05,2.7065333333333333e-05,1.0424666666666667e-05,6.200866666666668e-06,0.0,0.0,0.00011066666666666667
ep_SFH_age_0_climate_1_259,259,10,0.9089999999999998,0.9419680999999999,0.34506000000000003,0.00864291,0.000679,0.0009397699999999998,0.00029910500000000003,0.00026533800000000005,0.00021132999999999997,0.00018966000000000002,0.0,0.000479,0.003741,0.0,0.021920000000000002,0.0,0.0,0.00058496,0.00016156,0.000146405,0.00010489000000000002,0.0,0.0,0.0,0.002425,0.0,0.0,0.0,2.0799999999999997e-05,0.00036501000000000003,0.00012085400000000002,8.817e-05,9.614e-05,0.0,0.0,2.43e-06,7.76e-06,0.0,0.0,0.0,7.9e-05,0.00022526,7.7582e-05,3.2721e-05,3.827e-05,0.0,0.0,0.001415,7.48e-05,0.0,0.0,0.0,0.000192,4.9180999999999995e-05,2.3319e-05,6.27e-07,1.54e-06,1.6679e-05,0.000317,0.0,0.0,0.0,0.019812,0.0,0.0,4.0270000000000006e-05,2.814e-05,1.1479e-05,2.3638e-05,3.343e-05,0.0,0.000113,0.0008550000000000001,0.0007398,0.030691999999999997,0.005721000000000001,0.0,0.00012725,3.3144699999999995e-05,2.2713e-05,1.4618700000000001e-05,1.4302e-05,0.0,0.0,0.000137
ep_SFH_age_0_climate_1_493,493,27,0.4085925925925926,0.9685276737037036,0.26824444444444445,0.005286481481481481,0.0009444444444444445,0.000856,0.00023155925925925927,0.0001604385185185185,9.504592592592592e-05,6.467407407407406e-05,7.62962962962963e-05,4.777777777777777e-06,0.0009434444444444446,0.0005311111111111111,0.01784522222222222,0.0,0.00018629629629629627,0.00051,4.968e-05,3.7345592592592587e-05,2.0180444444444446e-05,6.037037037037037e-07,4.0740740740740745e-05,0.0004556666666666667,0.00023888888888888888,0.0,0.00605925925925926,0.0,0.0014725555555555557,0.00039498518518518515,6.737037037037037e-05,2.030259259259259e-05,1.4914814814814814e-05,0.0,0.0,0.00018355555555555557,0.0006215185185185185,0.0,0.0011814814814814815,0.0,0.0007277407407407408,0.0004464111111111111,0.00016653259259259256,2.707481481481481e-05,4.570592592592592e-05,6.296296296296296e-07,0.0,0.00021085185185185185,0.0005211111111111111,0.0,0.0037221444444444445,0.0,0.00017666666666666666,2.1551111111111107e-05,2.9425925925925925e-05,0.0,1.825925925925926e-07,3.403296296296296e-06,0.0,9.851851851851852e-05,9.962962962962964e-07,0.0,0.015922592592592592,0.0002217777777777778,0.0,0.0,2.2429629629629628e-05,2.6008518518518516e-06,1.5851851851851851e-06,8.416355555555554e-06,0.0007996296296296297,5.962962962962963e-05,0.0,0.001577851851851852,0.022176666666666667,0.0043271111111111114,0.0003048148148148148,2.8196296296296298e-05,1.6006666666666667e-05,1.0248814814814815e-05,5.341481481481481e-06,4.937037037037036e-06,4.296296296296296e-05,0.000667037037037037,0.0
ep_SFH_age_0_climate_1_535,535,14,0.6766428571428573,0.9530953571428571,0.3032214285714286,0.0054857142857142865,0.00075,0.0005375714285714286,0.0002648428571428572,0.00026177499999999995,0.00024625,0.00019088,0.0018959285714285712,5.2000000000000004e-05,0.0011114285714285714,0.0005786428571428572,0.0065,0.0,0.0010085714285714286,0.0005044571428571428,0.00013994285714285715,0.00010627228571428571,0.00010095642857142858,0.0,0.0,0.0015335714285714286,0.0005325714285714286,0.0,0.00865,0.0,0.00044714285714285716,0.0002818385714285714,7.470857142857143e-05,3.162857142857143e-05,3.2037857142857144e-05,0.0,0.0008164285714285714,0.0014978571428571428,0.00018,0.0,0.0,0.0,0.000775,0.0005311878571428571,9.970642857142857e-05,4.010621428571428e-05,5.609721428571428e-05,6.157142857142858e-06,0.0008714285714285715,0.0005914285714285714,0.0003357142857142857,7.057142857142856e-05,0.0019500000000000001,0.0014471428571428571,0.000145,0.00015302571428571428,5.056428571428572e-05,2.8142857142857143e-06,0.0,2.613857142857143e-05,0.00026571428571428574,0.0001592857142857143,0.0,7.785714285714286e-05,0.011192142857142857,7.999999999999999e-05,0.0006182214285714286,4.313571428571428e-05,6.802571428571429e-05,2.4827857142857144e-05,2.221428571428571e-05,2.6505e-05,0.0005857142857142858,0.0,5.407142857142857e-05,0.0006080714285714285,0.028985714285714285,0.0063685,0.0,0.0001312714285714286,3.8623857142857145e-05,3.409571428571429e-05,1.8664285714285716e-05,1.9435714285714285e-05,0.000185,0.0,0.0
ep_SFH_age_0_climate_2_1325,1325,15,0.5699333333333334,0.9596840200000003,0.31296,0.005995133333333334,0.00011233333333333333,0.0009513333333333333,0.00031050133333333335,0.00025628666666666663,0.0002478153333333333,0.00015905999999999998,0.00013533333333333333,0.0,0.00041066666666666666,4.346666666666667e-05,0.09155333333333335,0.0,0.0,0.0005583386666666667,0.00011808666666666666,9.678666666666667e-05,9.47193333333333e-05,6.8666666666666664e-06,0.000574,0.000192,0.000432,0.0,0.0,0.0,1.3466666666666668e-05,0.0004471,0.00011424066666666665,7.926666666666666e-05,7.379813333333332e-05,0.0,0.00014266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.00021088666666666667,3.6213333333333334e-05,3.604466666666667e-05,3.562e-05,2.5133333333333332e-05,0.00038866666666666666,0.0,0.0,0.0,0.0,0.0,0.000268,2.7253333333333336e-05,1.7407333333333332e-05,4.175999999999999e-05,0.0,1.0228866666666666e-05,0.0,0.0,0.0,2.3e-05,0.008753333333333333,0.0,0.000278,1.8333333333333333e-05,3.450333333333333e-05,1.4453333333333334e-06,7.406000000000001e-06,1.7168666666666664e-05,0.000174,0.0,0.0,0.0015428,0.010052866666666665,0.0057914,0.0,9.242666666666665e-05,4.545199999999999e-05,2.9410666666666666e-05,9.058e-06,1.916333333333333e-05,0.0,7.066666666666666e-05,0.0
ep_SFH_age_0_climate_2_1691,1691,34,0.08323529411764706,0.9802978647058822,0.2405794117647059,0.003701411764705882,0.0012944117647058825,0.0010590999999999999,0.00037266441176470586,0.0003225205882352941,0.00029100529411764706,0.0002179205882352941,0.0,0.003820526470588236,0.0,0.0020107941176470585,0.013529411764705884,0.0,0.00010882352941176471,0.0009690588235294119,0.00015234411764705885,8.913882352941176e-05,5.172647058823529e-05,5.314705882352941e-06,0.0007865294117647059,0.0005259117647058823,0.0010312647058823528,0.0,0.0029920588235294115,0.0,0.0017185294117647058,0.0007368852941176471,0.00015519117647058822,0.00010268441176470588,9.70285294117647e-05,6.617647058823529e-06,5.088235294117647e-05,0.006184205882352942,0.00014058823529411766,0.0,0.003497058823529412,0.0,0.00024794117647058825,0.00043873529411764706,0.00010521176470588235,5.516941176470589e-05,3.051176470588235e-05,1.9958823529411766e-05,0.0008274117647058825,0.0007755,0.0,3.7264705882352937e-05,0.011856235294117647,0.0,8.194117647058824e-05,3.439764705882353e-05,2.9049411764705878e-05,7.873529411764706e-06,1.0347941176470587e-05,1.953529411764706e-05,0.00022411764705882354,0.0011736764705882353,0.0,1.588235294117647e-05,0.012556764705882354,0.0,0.0010974999999999997,3.7885294117647054e-05,4.288852941176471e-05,1.2692941176470587e-05,1.8597058823529413e-05,2.5076470588235296e-05,8.923529411764705e-05,9.764705882352942e-05,0.0,0.0017994117647058823,0.02079414705882353,0.00957273529411765,0.0003397058823529412,0.00021921382352941177,0.00010145176470588235,8.468470588235293e-05,3.6332941176470585e-05,3.073205882352942e-05,4.494117647058823e-05,0.0006708823529411764,0.0
ep_SFH_age_0_climate_2_1972,1972,14,0.7526428571428571,0.9499335714285715,0.3261357142857143,0.0045025,0.0,0.000697,0.0002472428571428572,0.00019865714285714284,0.00014368142857142859,8.72992857142857e-05,0.0021821428571428573,0.0003857142857142857,0.0,0.0010707142857142857,0.018949999999999998,0.0,7.785714285714286e-05,0.0004365121428571429,4.5342857142857146e-05,4.77e-05,8.545357142857144e-05,2.3428571428571425e-06,0.0006042857142857143,0.0002907142857142857,0.0016388214285714287,0.0,0.007461428571428571,0.0,0.0,0.0003157428571428571,0.0001502857142857143,0.00011813857142857143,5.3764285714285715e-05,8.830714285714286e-07,0.0004254285714285714,0.00020928571428571432,0.00033142857142857144,0.0,0.0,0.0,0.0001142857142857143,0.00015427857142857141,3.585142857142857e-05,4.394428571428571e-05,2.405642857142857e-05,1.2357142857142858e-07,0.0010942857142857143,0.0,0.0007050714285714285,0.0,0.0017071428571428572,0.0,2.657142857142857e-05,4.763928571428571e-05,9.907142857142858e-06,9.443571428571427e-06,1.4414285714285714e-05,1.6378571428571427e-05,0.0,0.0,0.0,0.0,0.022157142857142858,0.0001992857142857143,7.1e-05,4.02e-05,3.8542857142857144e-05,7.872857142857143e-06,1.5735714285714283e-05,2.1588857142857143e-05,0.0005690714285714285,0.0001407142857142857,0.0,0.00043564285714285715,0.037611428571428566,0.007419285714285713,0.00026571428571428574,0.00011075,3.907942857142857e-05,2.5495e-05,8.9e-06,1.2627857142857142e-05,0.0003628571428571429,0.0,0.00024164285714285713
ep_SFH_age_0_climate_3_955,955,21,0.4752380952380952,0.965142142857143,0.2654761904761905,0.005518504761904762,8.571428571428571e-05,0.0006941547619047618,0.00021160238095238094,0.00020792380952380953,0.00018956142857142855,0.00015139666666666668,0.0,0.0014909523809523808,0.00045428571428571425,0.0003972952380952381,0.007219047619047618,0.0,0.00043304761904761904,0.00048082380952380955,0.00012251952380952383,7.565885714285714e-05,5.337142857142857e-05,3.771428571428571e-05,0.0,0.0003909523809523809,5.9523809523809524e-05,0.0,0.008233333333333334,2.376190476190476e-06,0.0002666095238095238,0.0002511857142857143,5.833861904761905e-05,5.197857142857143e-05,3.6138095238095234e-05,2.0374285714285715e-05,0.0,0.0006990476190476191,0.0,0.0,0.0,0.0,4.504761904761905e-05,0.0002943619047619048,0.00011696619047619049,7.809999999999999e-05,3.190952380952381e-05,6.731857142857143e-06,0.0003471428571428571,0.00022933809523809526,0.0,0.0,0.008923809523809525,0.0,0.00017876190476190477,9.193171428571427e-05,6.983428571428571e-05,8.404e-05,1.676190476190476e-08,2.6207904761904765e-05,0.0,0.0,0.00010842857142857143,0.0,0.01888095238095238,0.0,0.0003966666666666667,6.97047619047619e-05,5.3809523809523804e-05,1.3057142857142856e-06,3.985714285714286e-06,2.3943809523809526e-05,0.0,0.0,0.0,0.0005600952380952382,0.026128238095238093,0.007676190476190477,0.0006142857142857142,0.00013923476190476193,5.4290000000000004e-05,3.0360476190476195e-05,2.5271428571428575e-05,2.3306238095238095e-05,0.0,0.0,0.0
