,0
0,1.672702505378755
1,0.602290451969214
2,1.259278539884864
3,0.658865196868998
4,0.6166841855553358
5,0.3669969700193363
6,0.30208010608160407
7,0.7322857903064737
8,0.3068649964311021
9,0.44651858889747587
10,0.33820457146115857
11,1.0998694598080476
12,0.5090895150095314
13,0.03610938012819531
14,0.38786027479215335
15,0.5604511007918234
16,0.5995307812112536
17,0.13926789418382768
18,0.017957960252594773
19,0.344385893523409
20,0.268048460214505
21,-0.04206630514473275
22,-0.38703339530959724
23,0.46923674000028015
24,0.4024687938981337
25,-1.7573380687017774
26,0.2586419034070566
27,-2.100913399133688
28,-0.3235313679449199
29,-1.524563814735238
30,-0.10658745050689333
31,-2.4505553011345285
32,-1.0657626018017794
33,0.1967540675485573
